=== ROOMS WHOSE plMonsters WEIGHTS DO NOT SUM TO 100 (roll can fall through = no spawn) ===
    95%  A foul place to wander  (kocsew1.kod:64)
    60%  Castle Victoria  (castle1.kod:49)

=== FULL MONSTER TABLE ===
class	display name	lvl	maxHP	diff	karma	offense=defense	dmg/hit	atk interval ms	atk type	spell	aggro	treasure	rooms
GroundWorm	groundworm	100	120	5	30	600	5-13	2080-2580	ATCK_WEAP_HIT	ATCK_SPELL_ACID	aggr	TID_TOUGH	The Badlands(40); The border of the Badlands(70); Outskirts of Tos(50)
Guard	guard cow	100	120	5	100	600	5-13	2080-2580	ATCK_WEAP_BITE	0	murderers-only	TID_NONE	NO SPAWN IN KOD
TuskedSkeleton	tusked skeleton	100	120	6	-70	660	5-13	1870-2370	ATCK_WEAP_SLASH	0	aggr	TID_SKELETON3	The Dungeon of Castle Brax(50); Ancient Building(50); Decaying City of Brax(40); Within the Walls of Castle Brax(40); The Throne Room of Victoria Castle(80); animate(fixed)
Lupogg	lupogg	105	126	9	75	855	6-13	2220-2720	ATCK_WEAP_BITE	0	aggr	TID_VERY_TOUGH	The Sewers of Barloque(6); The Sewers of Barloque(45); The Sewers of Barloque(80); The Sewers of Jasper(5); The Sewers of Jasper(60); The Sewers of Jasper(85); The Ancient Smuggler's Crossing(100)
OrcPitBoss	orc pit boss	115	138	7	-90	765	6-14	1660-2160	ATCK_WEAP_SLASH	0	HYPER|aggr	TID_ORC_CHIEF	NO SPAWN IN KOD
Avar	peet-seeeep avar warrior	120	144	7	40	780	6-15	1940-2440	ATCK_WEAP_BLUDGEON	0	aggr	TID_AVAR	Into the Jungle(10); Outside the Guard Tower(95); The Cliffs(10); Headquarters for the Avar Warriors(60); Camp of the Warrior Avars(50); The Chasm(90); Turf of the Warrior Avars(50); Ruins of the Riija Temple(60)
DragonFly	dragonfly	120	144	6	40	720	6-15	2150-2650	ATCK_WEAP_PIERCE	0	aggr	TID_DRAGONFLY	Cliff Hive(90); The Jungle Cliffs(100); A notch in the jungle(100); Into the Jungle(90); Outside the Guard Tower(5); The Cliffs(90); Into the Jungle(100); Origin of the Kriipa(30)
DragonFlyPet	pet dragonfly	120	144	6	40	720	6-15	2150-2650	ATCK_WEAP_PIERCE	0	aggr|newbiesafe	TID_NONE	NO SPAWN IN KOD
NarthylWorm	narthyl worm	120	144	7	0	780	6-15	2220-2720	ATCK_WEAP_PIERCE	0	HYPER|aggr	TID_NARTHYL_WORM	Ancient Building(60); Ancient Graveyard of Brax(40); Decaying City of Brax(60); Ruins of Castle Brax(40)
StoneTroll	StoneTroll_realname_rsc	120	144	8	-100	840	6-15	1450-1950	ATCK_WEAP_HIT	0	aggr	TID_MEDIUM_HUMAN	Ukgoth, Holy Land of Trolls(fixed); Martyr's Battleground(85)
DaemonSkeleton	daemon skeleton	130	156	8	-90	870	6-16	1450-1950	ATCK_WEAP_THRUST	0	HYPER|aggr	TID_SKELETON4	The Dungeon of Castle Brax(50); Ancient Building(40); Ancient Building(50); Ancient Graveyard of Brax(60); Within the Walls of Castle Brax(60); Ruins of Castle Brax(60); animate(fixed)
GroundWormQueen	groundworm queen	130	156	7	-30	810	6-16	2220-2720	ATCK_WEAP_HIT	ATCK_SPELL_ACID	HYPER	TID_WORM_QUEEN	Brog's Antechamber(30); Martyr's Battleground(15); The Badlands(70)
AvarChieftain	avarchief_name_rsc	135	162	9	80	945	7-16	1240-1740	ATCK_WEAP_PIERCE	0	aggr	TID_AVAR_CHIEF	Headquarters for the Avar Warriors(7); Camp of the Warrior Avars(5); The Chasm(10); Ruins of the Riija Temple(15); Lair of the Bone Priestess(10); Territory of the Noble Avars(5); Deep in the Jungle(2); The Clearing of the Trading Post(10)
DragonFlyQueen	dragonfly queen	145	174	6	40	795	7-18	1870-2370	ATCK_WEAP_PIERCE	0	aggr	TID_DRAGONFLY	Cliff Hive(10); Outside the Mad Scientist's Hut(100)
MolluskMonster	mollusk creature	150	180	7	90	870	8-19	1940-2440	ATCK_WEAP_BLUDGEON	0	passive	TID_TOUGH	Deep in the Forest of Farol(30); The Great Ocean(80)
Thrasher	thrasher	150	180	7	-75	870	8-19	1660-2160	ATCK_WEAP_BLUDGEON	0	HYPER|aggr	TID_THRASHER	Affirmation of the Forsaken(100); Affirmation of the Forsaken(fixed)
XeoAir	ve'xeochicatl	150	180	7	0	870	8-19	1380-1880	ATCK_WEAP_MAGIC	0	aggr	TID_NONE	sky heartstone(fixed); ?(fixed)
Xeochicatl	Xeochicatl	150	180	8	0	930	8-19	1730-2230	ATCK_WEAP_MAGIC	0	aggr	TID_NONE	NO SPAWN IN KOD
Kriipa	kriipa	160	192	6	-50	840	8-20	1870-2370	ATCK_WEAP_SLASH	0	HYPER|aggr	TID_DRAGONFLY	Headquarters for the Avar Warriors(15); Camp of the Warrior Avars(27); Path to the Ruins(100); Turf of the Warrior Avars(40)
SpiderQueen	queen spider	165	198	9	-90	1035	9-20	2360-2860	ATCK_WEAP_BITE	0	aggr	TID_SPIDER_QUEEN	The Spider Nest(fixed)
XeoFire	ro'xeochicatl	170	204	7	0	930	9-21	1660-2160	ATCK_WEAP_MAGIC	0	aggr	TID_NONE	red heartstone(fixed); ?(fixed)
Yeti	yeti	170	204	9	0	1050	9-21	1800-2300	ATCK_WEAP_CLAW	0	aggr	TID_VERY_TOUGH	The Dreaded Caves of Ice(fixed)
XeoWater	ma'xeochicatl	190	228	8	0	1050	9-24	1450-1950	ATCK_WEAP_MAGIC	0	aggr	TID_NONE	blue heartstone(fixed); ?(fixed)
Cow	cow	200	240	0	0	600	10-25	3690-4190	ATCK_WEAP_HIT	0	NOFIGHT	TID_NONE	Raza(fixed); summon bovine(fixed)
DarkAngel	dark angel	200	240	9	-100	1140	10-25	960-1460	ATCK_WEAP_MAGIC	ATCK_SPELL_FIRE	aggr|newbiesafe	TID_DARK_ANGEL	NO SPAWN IN KOD
DeadLich	ghostly remains of Queen Venya'cyr	200	240	9	-100	1140	10-25	2360-2860	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	Inner Sanctum of Queen Venya'cyr(fixed)
Ghost	ghost	200	240	5	-100	900	10-25	2080-2580	ATCK_WEAP_HIT	0	aggr	TID_GHOST	The Throne Room of Victoria Castle(fixed)
Lich	Queen Venya'cyr	200	240	9	-100	1140	10-25	1240-1740	ATCK_WEAP_HIT	ATCK_SPELL_UNHOLY	HYPER|aggr	TID_LICH	Inner Sanctum of Queen Venya'cyr(fixed)
LupoggKing	lupogg king	200	240	9	0	1140	10-25	1800-2300	ATCK_WEAP_CLAW	0	HYPER|aggr	TID_LUPOGG_KING	NO SPAWN IN KOD
Shadowbeast	shadowbeast	200	240	7	-100	1020	10-25	1940-2440	ATCK_WEAP_SLASH	0	aggr	TID_VERY_TOUGH	The Archaic Hollows(30); Aqueducts of Merb(40)
XeoEarth	te'xeochicatl	200	240	9	0	1140	10-25	1520-2020	ATCK_WEAP_MAGIC	0	aggr	TID_NONE	brown heartstone(fixed); ?(fixed)
